ID,Source,Pred,Monthly Visitors November 2020,Text,Pred123,Pred-101
ID-2626,ABC,negative,100510000,Former Peruvian president Alejandro Toledo arrested in US,3,-1
ID-2695,ABC,neutral,100510000,"""Japanese Prime Minister Shinzo Abe says he",2,0
ID-2828,ABC,neutral,100510000,Mexico says tariffs will send tomato prices soaring in US,2,0
ID-2907,ABC,positive,100510000,France's Macron vows to help restart Serbia-Kosovo talks,1,1
ID-2986,ABC,positive,100510000,"""D-Day at 75: Nations honor veterans",1,1
ID-2999,ABC,neutral,100510000,Mexico to issue limited humanitarian visas to migrants,2,0
ID-3027,ABC,negative,100510000,"""Blue and White leaders concede defeat in Israeli elections",3,-1
ID-3062,ABC,negative,100510000,Vietnamese woman accused in Kim Jong Nam's killing released,3,-1
ID-3078,ABC,negative,100510000,Holocaust survivor Eva Kor dies at age 85,3,-1
ID-3079,ABC,neutral,100510000,"""In camp of diehard IS supporters",2,0
ID-3097,ABC,neutral,100510000,A top Emirati diplomat says UAE 'very committed to de-escalation' after alleged sabotage of oil tankers,2,0
ID-3196,ABC,neutral,100510000,"""Palestinian government sworn in",2,0
ID-3231,ABC,negative,100510000,The Latest: Sudan official disputes protesters' death toll,3,-1
ID-3608,ABC,neutral,100510000,Sudan tensions escalate after talks with military break down,2,0
ID-3713,ABC,negative,100510000,Greek police arrest suspect in Greek-Australian's murder,3,-1
ID-3972,ABC,positive,100510000,Austrian chancellor set to face confidence vote next week,1,1
ID-4004,ABC,neutral,100510000,UN: Bosnia moves migrants to area infested with land mines,2,0
ID-4032,ABC,neutral,100510000,Bear injures 80-year-old woman in Slovenia,2,0
ID-4093,ABC,negative,100510000,Migrant woman killed in fall from train in Mexico,3,-1
ID-4126,ABC,negative,100510000,South Africa says unemployment at highest level in a decade,3,-1
ID-4165,ABC,negative,100510000,14 sailors killed in submarine fire laid to rest in Russia,3,-1
ID-4206,ABC,positive,100510000,Venezuela's Guaidó promises to persevere despite crackdown,1,1
ID-4236,ABC,negative,100510000,Islamic State leader: Sri Lanka attack was revenge for Syria,3,-1
ID-4340,ABC,neutral,100510000,Myanmar holds repatriation talks with refugees,2,0
ID-4386,ABC,neutral,100510000,"""2 years after Grenfell",2,0
ID-4436,ABC,neutral,100510000,The Latest: European powers concerned about Iran nuke deal,2,0
ID-4447,ABC,neutral,100510000,Venezuela's top court targets opposition lawmakers,2,0
ID-4584,ABC,neutral,100510000,Nordea Bank says its CEO will retire by end-2020,2,0
ID-4587,ABC,negative,100510000,Officials: BA suspending flights from London for 2 days,3,-1
ID-4647,ABC,negative,100510000,Pakistan sentences 3 to 5-year in jail over terror financing,3,-1
ID-4769,ABC,negative,100510000,Separate militant attacks kill nearly 50 Syrian soldiers,3,-1
ID-4784,ABC,neutral,100510000,"""UN says thousands flee Congo violence",2,0
ID-4820,ABC,negative,100510000,Taiwan's president reaffirms anti-nuclear stance at march,3,-1
ID-4900,ABC,neutral,100510000,"""Lakes Erie",2,0
ID-4947,ABC,neutral,100510000,Netanyahu's future clouded by rivalry with former ally,2,0
ID-4967,ABC,negative,100510000,French trial accusing Orange of moral harassment wraps,3,-1
ID-54,Alternet,negative,4820000,"""Immigrant children sent to Chicago shelters are traumatized and sick",3,-1
ID-55,Alternet,negative,4820000,Immigrant soldiers are now being denied US citizenship at a higher rate than civilians,3,-1
ID-101,Alternet,neutral,4820000,"""Nearly 500",2,0
ID-362,Alternet,neutral,4820000,‘Stunning’: Mormon Church decides same-sex couples are no longer heretics — and their children can now be baptized,2,0
ID-365,Alternet,neutral,4820000,Beyoncé makes black feminism accessible in her Coachella film ‘Homecoming’ — building on the education she’s delivered for years,2,0
ID-501,Alternet,neutral,4820000,Revisiting Quentin Tarantino’s ‘Inglourious Basterds’ in the Trump era,2,0
ID-653,Alternet,neutral,4820000,A ‘fantasy’: Medieval scholars educate white nationalists on their ‘pure white Europe’ claims,2,0
ID-674,Alternet,negative,4820000,Barr has the US on ‘the road to tyranny’: Hillary Clinton calls out Trump’s AG over his shameful Senate testimony,3,-1
ID-766,Alternet,negative,4820000,Kellyanne Conway rips Nikki Haley for Trump criticism just as husband George urges the former UN ambassador to join ‘the right side of history’,3,-1
ID-778,Alternet,neutral,4820000,McConnell stumped after reporter asks if it’s OK to tell his immigrant wife to ‘go back to your country’,2,0
ID-793,Alternet,negative,4820000,New polling of 2020 Democrats head-to-head with Trump in a key swing state reveals his electoral weakness,3,-1
ID-849,Alternet,negative,4820000,The disturbing reason Republicans deny science and embrace measles epidemic,3,-1
ID-853,Alternet,negative,4820000,This Republican lawmaker actually just called out Trump’s racism,3,-1
ID-1010,Alternet,neutral,4820000,Here are 5 lies Trump defenders are guaranteed to tell about the Mueller report — and why you shouldn’t believe them,2,0
ID-1011,Alternet,neutral,4820000,Here’s the ‘gaping loophole’ in federal law that Russia and other countries can exploit to legally influence the 2020 election,2,0
ID-1012,Alternet,positive,4820000,Here’s what Donald Trump can teach Democrats about winning crossover votes,1,1
ID-1135,Alternet,positive,4820000,Senate Republicans feel ‘urgency’ to do something about health care — again,1,1
ID-1236,Alternet,neutral,4820000,"""‘Girl",2,0
ID-1431,Alternet,neutral,4820000,Here’s why AG Barr will have the last word on the Russia investigation — even after Mueller’s testimony,2,0
ID-1486,Alternet,negative,4820000,Netflix vows to work with ACLU in fight against draconian Georgia anti-abortion law,3,-1
ID-1526,Alternet,neutral,4820000,The 25th Amendment wouldn’t work to dump Trump — here’s why,2,0
ID-1612,Alternet,negative,4820000,Alan Dershowitz pens panicky op-ed in anticipation of a New Yorker ‘hit piece’ about him and underage girls,3,-1
ID-1650,Alternet,negative,4820000,Disturbing report reveals Trump is allowing U.S. bomb parts to be built in Saudi Arabia — despite objections from Congress,3,-1
ID-1670,Alternet,neutral,4820000,Here’s what Mayor Pete gets right on foreign policy,2,0
ID-1683,Alternet,positive,4820000,Jake Tapper laughs in Pence’s face: ‘We don’t have the cleanest air and water in the world’,1,1
ID-1699,Alternet,negative,4820000,Lawyer for ‘MAGA bomber’ says Trump’s rhetoric ‘contributed’ to attacks on the president’s critics,3,-1
ID-1778,Alternet,negative,4820000,This one simple trick can make primaries a lot less annoying,3,-1
ID-1859,Alternet,positive,4820000,Here’s why successful impeachment doesn’t necessarily mean a Senate conviction,1,1
ID-1874,Alternet,neutral,4820000,Legal experts ‘flabbergasted’ by AG Barr’s ‘deliberate political performance’: He’s ‘too far into the tank for’ Trump,2,0
ID-2005,Alternet,negative,4820000,Advocacy groups warn against ‘normalized hate speech’ after Trump continues to ridicule Rep. Omar — despite death threats,3,-1
ID-2052,Alternet,negative,4820000,The GOP’s anti-choice zealots are threatening to lurch America into a cold civil war,3,-1
ID-2098,Alternet,negative,4820000,New research finds the HPV vaccine is exceeding expectations and drastically cutting rates of cervical pre-cancer,3,-1
ID-2210,Alternet,positive,4820000,These are the 5 TV shows that both liberals and conservatives love,1,1
ID-2217,Alternet,negative,4820000,‘A new level of dysfunction’: The Trump administration suffers ‘rampant confusion’ as US foreign policy goes of the rails,3,-1
ID-2282,Alternet,negative,4820000,Former Acting Attorney General Sally Yates on Trump: ‘I have personally prosecuted obstruction cases on far less evidence than this’,3,-1
ID-2296,Alternet,neutral,4820000,It’s time to change the way the world thinks about drug reform,2,0
ID-2357,Alternet,negative,4820000,Trump praises the crowd that started racist ‘Send her back!’ chant — says they’re ‘incredible patriots’,3,-1
ID-2367,Alternet,negative,4820000,US Navy SEAL acquitted of war crimes despite eyewitness testimony and photographic evidence,3,-1
ID-2411,Alternet,neutral,4820000,Here are 7 of the wildest moments and lies from Trump’s profane and uninhibited campaign rally,2,0
ID-2439,Alternet,negative,4820000,Trump advisor leaves high-powered consulting firm after calling House Judiciary Chairman Jerry Nadler ‘a f*cking scumbag’,3,-1
ID-2447,Alternet,neutral,4820000,Unlikely allies Ted Cruz and Alexandria Ocasio-Cortez team up on bipartisan birth control bill,2,0
ID-2602,Alternet,negative,4820000,‘Unprecedented’ decline of plants and animals as global ‘red list’ reveals nearly one-third of assessed species are under threat,3,-1
ID-2606,Alternet,negative,4820000,Alexandria Ocasio-Cortez rips Steve King: ‘You were too racist even for’ Republicans,3,-1
ID-2894,Alternet,negative,4820000,Veteran journalist writes horrifying account of Donald Trump raping her 23 years ago,3,-1
ID-2903,Alternet,positive,4820000,‘Trump supporters for Ocasio-Cortez’: AOC tells the bizarre story of her most surprising fans,1,1
ID-2904,Alternet,positive,4820000,‘You’re the motherf*cking best!’ Soccer star Megan Rapino urges fans to ‘be better’ in rabble-rousing speech on live TV,1,1
ID-3007,Alternet,neutral,4820000,Five reasons why 2020’s down-ballot races could reshape America’s future,2,0
ID-3096,Alternet,positive,4820000,The Republican who endorsed impeachment just demolished his party’s embarrassing defense of Trump,1,1
ID-3126,Alternet,neutral,4820000,Christians revolt: Students at this top evangelical university are demanding Pence step down as commencement speaker — and suggesting Buttigieg deliver the address instead,2,0
ID-3129,Alternet,negative,4820000,Conservative writer reveals how Trump just signed the Tea Party’s death certificate,3,-1
ID-3160,Alternet,neutral,4820000,Hope Hicks tells House that Trump is serious about accepting foreign help as conservative lawyer argues doing so could violate presidential oath,2,0
ID-3248,Alternet,neutral,4820000,Trump sold property to a ‘mysterious shell company’ tied to one of Maduro’s top allies in 2015,2,0
ID-3324,Alternet,negative,4820000,Federal judge slaps Roger Stone with a social media ban for violating a court order,3,-1
ID-3347,Alternet,negative,4820000,Key swing district voters want candidates willing to take on Big Pharma: Americans are ‘tired of getting ripped off’,3,-1
ID-3358,Alternet,neutral,4820000,Mueller requests that long-time aide be sworn in as a witness at House hearings: report,2,0
ID-3370,Alternet,neutral,4820000,Operation Pennsylvania: Why the Keystone State will be make or break Trump’s reelection campaign,2,0
ID-3414,Alternet,negative,4820000,Trump inching toward an intel apparatus that believes his false ‘wire tapping’ claim after DNI pick accuses Obama administration of committing crimes,3,-1
ID-3416,Alternet,negative,4820000,Trump sues to block New York from releasing his tax returns,3,-1
ID-3454,Alternet,negative,4820000,Alexandria Ocasio-Cortez was horrified after visiting Trump’s migrant camps — here’s why,3,-1
ID-3499,Alternet,negative,4820000,Trump’s disturbing answer about how he could ‘unite’ the country echoes his maniacal demand for loyalty,3,-1
ID-3505,Alternet,neutral,4820000,‘A practitioner of the dark arts’: A psychologist explains how Trump uses his ‘serious sadistic impulses’ to manipulate his rivals,2,0
ID-3543,Alternet,negative,4820000,Former US attorney Preet Bharara slams Rudy Giuliani for downplaying impact of campaign taking info from Russia,3,-1
ID-3544,Alternet,positive,4820000,Fox News’ Chris Wallace says Attorney General Bill Barr ‘clearly is protecting’ Trump,1,1
ID-3715,Alternet,neutral,4820000,Here’s what Ben Franklin teaches us about impeaching Donald Trump,2,0
ID-3816,Alternet,positive,4820000,‘It was not a fluke event’: Alabama Sen. Doug Jones lays out how Democrats can win in 2020,1,1
ID-3817,Alternet,negative,4820000,‘The facts we know about already are damning’: Conservative writer says the GOP would impeach Trump if it weren’t run by ‘know-nothing cultists’,3,-1
ID-3820,Alternet,negative,4820000,‘You lied to Congress’: Democratic Sen. Hirono unleashes on Bill Barr — and infuriates Lindsey Graham,3,-1
ID-4054,Alternet,negative,4820000,Ethics expert details the scandals in the White House’s new list of staff salaries,3,-1
ID-4164,Alternet,neutral,4820000,‘We shall overcome’: Remembering folk icon and activist Pete Seeger in his own words and songs,2,0
ID-4225,Alternet,neutral,4820000,Elizabeth Warren schools Mitch McConnell on the Constitution by reading directly from Mueller report on the Senate floor,2,0
ID-4243,Alternet,neutral,4820000,Let’s end this media charade about Trump,2,0
ID-4292,Alternet,negative,4820000,Trump facing ‘psychic collapse’ after Mueller’s report puts more pressure on his unstable mind: Psychoanalyst,3,-1
ID-4308,Alternet,positive,4820000,‘Obliteration like you’ve never seen before’: Trump threatens Iran in NBC interview,1,1
ID-4329,Alternet,neutral,4820000,Here’s how economists are blocking progress on climate change,2,0
ID-4346,Alternet,neutral,4820000,Ralph Nader: We know exactly who gave us Trump,2,0
ID-4391,Alternet,negative,4820000,A key Mueller probe witness was just indicted with new felony sex trafficking charges,3,-1
ID-4394,Alternet,neutral,4820000,Attorney General Bill Barr is now in possession of the Mueller report — and could send parts of it to Congress this weekend,2,0
ID-4527,Alternet,neutral,4820000,A Republican senator actually just called out Trump’s hypocritical order on campus ‘free speech’,2,0
ID-4533,Alternet,negative,4820000,Bill Maher and filmmaker John Waters brutally troll Trump with epic smack-down on HBO’s ‘Real Time’,3,-1
ID-4556,Alternet,positive,4820000,Fox News is hosting a Bernie Sanders town hall — here’s why the Vermont socialist was smart to say ‘yes’,1,1
ID-4596,Alternet,positive,4820000,Raytheon and United Technologies are merging to create ‘military-industrial behemoth’,1,1
ID-4619,Alternet,positive,4820000,Trump is facing impeachment. The NRA is facing bankruptcy. It’s a good day in America,1,1
ID-4669,Alternet,positive,4820000,Former Florida Sen. Bill Nelson vindicated after Gov. DeSantis confirms Russian hackers gained access to county voter databases in 2016,1,1
ID-4831,Alternet,neutral,4820000,CBS host hammers Lindsey Graham to his face for saying Trump didn’t do ‘one thing’ to obstruct Mueller: ‘Someone is lying’,2,0
ID-4916,Alternet,negative,4820000,‘They’re doing it as we sit here’: Mueller sends a dire warning about Russian interference in U.S. elections,3,-1
ID-4960,Alternet,negative,4820000,Donald Trump Jr joined an army of dubious social media trolls to target Kamala Harris with a racist smear,3,-1
ID-7,BBC,negative,1441220000,Detention centres 'will shock the conscience of this country',3,-1
ID-26,BBC,negative,1441220000,Five numbers that explain US border crisis,3,-1
ID-83,BBC,neutral,1441220000,Lord mayor opens Joe Lycett's new kitchen extension,2,0
ID-84,BBC,negative,1441220000,Malaysia orders tonnes of imported waste to be returned,3,-1
ID-144,BBC,neutral,1441220000,"""Syrian woman's 2",2,0
ID-168,BBC,negative,1441220000,The rumour that led to medical researchers in Ethiopia being killed by a mob,3,-1
ID-229,BBC,negative,1441220000,One restaurant's simple approach to fighting food waste,3,-1
ID-260,BBC,neutral,1441220000,Clashes break out at Jerusalem holy site,2,0
ID-279,BBC,neutral,1441220000,Ghanaian teacher: 'Dancing makes students relate to me',2,0
ID-306,BBC,negative,1441220000,Malawi's antibiotics crisis: Why the drugs don't work for some,3,-1
ID-400,BBC,positive,1441220000,Baby girl found alive inside plastic bag,1,1
ID-406,BBC,neutral,1441220000,Burning Russian plane makes emergency landing,2,0
ID-410,BBC,neutral,1441220000,Christchurch shootings: The New Zealanders rallying to help victims,2,0
ID-416,BBC,positive,1441220000,Donald Trump joins Shannon Airport hall of fame,1,1
ID-430,BBC,neutral,1441220000,Fifteen-year-old Nigerian builds small scale construction machines,2,0
ID-450,BBC,positive,1441220000,India floods: Hundreds of passengers rescued from train,1,1
ID-463,BBC,negative,1441220000,Libya ‘war crimes’ videos shared on social media,3,-1
ID-480,BBC,negative,1441220000,Notre-Dame fire: The moment the spire collapses,3,-1
ID-499,BBC,neutral,1441220000,Real-life Spider-Man scales 15 floors to save mother from fire,2,0
ID-514,BBC,negative,1441220000,Sri Lanka attacks: CCTV shows suspected Sri Lanka church bomber,3,-1
ID-517,BBC,negative,1441220000,Sudan: Defence minister Awad Ibn Auf says president Omar al-Bashir arrested,3,-1
ID-519,BBC,negative,1441220000,Tear gas fired as Indonesia protest turns violent,3,-1
ID-542,BBC,negative,1441220000,Tiananmen's tank man: The image that China forgot,3,-1
ID-834,BBC,negative,1441220000,Steve Bannon: 'Trump's border crackdown is anti-racist',3,-1
ID-1373,BBC,negative,1441220000,Boko Haram: A decade of terror explained,3,-1
ID-1449,BBC,neutral,1441220000,India election 2019: Oldest voter explains why it's important to vote,2,0
ID-1590,BBC,neutral,1441220000,Women's World Cup 2019: Fans react to US vs Netherlands final,2,0
ID-1677,BBC,negative,1441220000,"""In Case You Missed It: Bubbles",3,-1
ID-1707,BBC,neutral,1441220000,Meet the 'warts and all' wedding photographer,2,0
ID-1821,BBC,positive,1441220000,Bill Clinton: 'Columbine has a special place in my heart',1,1
ID-1870,BBC,positive,1441220000,Kottu roti: The street food that makes you feel like dancing,1,1
ID-1875,BBC,neutral,1441220000,Loteria: A centuries-old game remade for millennials,2,0
ID-1946,BBC,neutral,1441220000,Five things to know about F1's Niki Lauda,2,0
ID-2087,BBC,positive,1441220000,Former Iranian minister: Iran will not be bullied,1,1
ID-2102,BBC,neutral,1441220000,Trump lauds military at Independence Day celebrations,2,0
ID-2139,BBC,negative,1441220000,The Tiger Who Came To Tea author Judith Kerr dies,3,-1
ID-2176,BBC,neutral,1441220000,When an alligator breaks into your house at night,2,0
ID-2259,BBC,negative,1441220000,Chernobyl: Rescuing the abandoned dogs in the exclusion zone,3,-1
ID-2295,BBC,negative,1441220000,Iran crisis: A tale of two tankers,3,-1
ID-2340,BBC,neutral,1441220000,Sri Lanka bombings: 'I invited the bomber into the church',2,0
ID-2342,BBC,negative,1441220000,Sudan protests: Outrage as troops open fire on protesters,3,-1
ID-2387,BBC,neutral,1441220000,Blackpink: Meet the K-pop superstars backstage at their first UK tour,2,0
ID-2412,BBC,negative,1441220000,Hong Kong protests: Police use tear gas on protesters,3,-1
ID-2414,BBC,neutral,1441220000,Inside Iran: Iranians on Trump and the nuclear deal,2,0
ID-2424,BBC,negative,1441220000,Rafters accidentally plunge over waterfall in Pennsylvania,3,-1
ID-2445,BBC,positive,1441220000,Ukraine election: Comedian Volodymyr Zelensky wins,1,1
ID-2506,BBC,neutral,1441220000,Dozens of rockets launched into Israel,2,0
ID-2554,BBC,neutral,1441220000,Oklahoma flooding sweeps home into river,2,0
ID-2582,BBC,negative,1441220000,The refugee families caught up in a war zone in Libya,3,-1
ID-2610,BBC,negative,1441220000,Appeals over Russia holiday camp deaths,3,-1
ID-2612,BBC,neutral,1441220000,Bomb targets tourist bus in Egypt,2,0
ID-2630,BBC,neutral,1441220000,Heavy rains in Japan cause deadly landslides and floods,2,0
ID-2665,BBC,neutral,1441220000,The Toronto Raptor superfan who's not Drake,2,0
ID-2689,BBC,positive,1441220000,Five beached whales in Florida saved by strangers,1,1
ID-2703,BBC,neutral,1441220000,North Koreans discuss Kim Jong-un's trip to Russia,2,0
ID-2705,BBC,positive,1441220000,Rhino release: Epic journey to freedom in Rwanda,1,1
ID-2713,BBC,positive,1441220000,Wheelchair basketball player Abdi Jama: I'm lucky to be alive,1,1
ID-2813,BBC,negative,1441220000,Kosovo war: The conflict that won't go away,3,-1
ID-2860,BBC,positive,1441220000,Taiwan puppet master's push to keep ancient art alive,1,1
ID-2865,BBC,neutral,1441220000,The Alaskan competition involves skiing on water and snow,2,0
ID-2880,BBC,negative,1441220000,The mothers fighting to get their children back from Lebanon,3,-1
ID-2881,BBC,neutral,1441220000,The self-styled Libyan National Army has launched airstrikes on Tripoli,2,0
ID-2919,BBC,positive,1441220000,63-year old dance instructor: 'Exercise saved my life',1,1
ID-2922,BBC,neutral,1441220000,Catwalk gatecrasher becomes surprise fashion star,2,0
ID-3006,BBC,positive,1441220000,Finland's new generation of climate heroes,1,1
ID-3016,BBC,neutral,1441220000,Plane with the largest wingspan in the world takes flight,2,0
ID-3058,BBC,neutral,1441220000,The surprising thing about America's migrant past,2,0
ID-3071,BBC,negative,1441220000,Waterloo battlefield therapy for British war veterans,3,-1
ID-3125,BBC,negative,1441220000,"""China tariffs devastating",3,-1
ID-3148,BBC,negative,1441220000,Elephant in 'bad mood' joins commute in Chinese town,3,-1
ID-3170,BBC,negative,1441220000,Julian Assange dragged from Ecuadorian embassy,3,-1
ID-3223,BBC,negative,1441220000,Sister of Sri Lanka attacks 'ringleader' Zahran Hashim condemns attacks,3,-1
ID-3237,BBC,negative,1441220000,The farmer who cut off his own leg with a pocketknife,3,-1
ID-3315,BBC,neutral,1441220000,El Bus TV: News bulletins on the bus in Venezuela,2,0
ID-3316,BBC,negative,1441220000,El Paso Walmart shooting: Police respond to gun attack,3,-1
ID-3520,BBC,negative,1441220000,Celebrations as Puerto Rico Governor Rosselló resigns,3,-1
ID-3521,BBC,neutral,1441220000,China toddler: Three-year-old falls six storeys and survives,2,0
ID-3525,BBC,neutral,1441220000,Cracks open up as earthquake hits Peru,2,0
ID-3548,BBC,neutral,1441220000,Hallstatt: A town of 800 people that gets a million tourists a year,2,0
ID-3551,BBC,neutral,1441220000,Hunrdeds of rockets launched from Gaza into Israel,2,0
ID-3567,BBC,neutral,1441220000,Kashmir: Pakistan PM Imran Khan on the need for dialogue,2,0
ID-3575,BBC,neutral,1441220000,Measles vaccine fears cost me my children,2,0
ID-3598,BBC,negative,1441220000,Rescued hiker: 'It came down to life and death and I had to chose',3,-1
ID-3640,BBC,negative,1441220000,Van with $140m of drugs crashes into police car in Sydney,3,-1
ID-3679,BBC,negative,1441220000,Cape Town - tourist hotspot where eight people are murdered a day,3,-1
ID-3687,BBC,negative,1441220000,Cyclone Idai: 'People didn't stand a chance',3,-1
ID-3705,BBC,neutral,1441220000,Forty-five rattlesnakes found under Texas house,2,0
ID-3769,BBC,neutral,1441220000,Sri Lanka attacks: 'They gave me a hug the night before',2,0
ID-3770,BBC,positive,1441220000,Stranded baby elephant rescued from lake,1,1
ID-3772,BBC,neutral,1441220000,Student reunited with mother after 12 years,2,0
ID-3806,BBC,positive,1441220000,What it's like being a woman in media,1,1
ID-3814,BBC,neutral,1441220000,Zimbabwean Manners Mukuwiri recycles rubbish into art,2,0
ID-3855,BBC,neutral,1441220000,Meet the rare tiger cubs making their debut at Sydney Zoo,2,0
ID-3886,BBC,neutral,1441220000,There's a reason this court is run by women,2,0
ID-3894,BBC,neutral,1441220000,Ukraine's presidential candidates take drug tests,2,0
ID-3958,BBC,negative,1441220000,Africa Eye: On the front line of Nigeria’s energy crisis,3,-1
ID-3962,BBC,neutral,1441220000,Alek Sigley: Australian PM confirms North Korea detainee's release,2,0
ID-4051,BBC,neutral,1441220000,Donald Trump state visit: What happened on day one,2,0
ID-4069,BBC,neutral,1441220000,Hong Kong clashes: BBC reporter 'hit in the face',2,0
ID-4081,BBC,neutral,1441220000,Kwame Akoto-Bamfo: 'You see the faces of our ancestors',2,0
ID-4105,BBC,negative,1441220000,Notre-Dame's spire collapses due to fire,3,-1
ID-4128,BBC,neutral,1441220000,"""Stateless in Africa: Why 700",2,0
ID-4158,BBC,neutral,1441220000,What's at stake in the EU elections,2,0
ID-4159,BBC,negative,1441220000,When misinformation online leads to death threats,3,-1
ID-4491,BBC,positive,1441220000,Fortnite World Cup: 15-year-old Brit Jaden Ashman wins million dollar prize,1,1
ID-4492,BBC,positive,1441220000,"""Glastonbury: Thank you for going plastic-free",1,1
ID-4570,BBC,neutral,1441220000,India’s six-week election in two minutes,2,0
ID-4645,BBC,positive,1441220000,Nasa’s Valkyrie robot could help build Mars base,1,1
ID-4653,BBC,negative,1441220000,'Her ancestors enslaved mine. Now we're friends',3,-1
ID-4735,BBC,negative,1441220000,Afghanistan war: This is the human cost,3,-1
ID-4782,BBC,neutral,1441220000,The solar-power charged electric cars making money,2,0
ID-89,Breitbart,neutral,98740000,Mexican Border State Local Police Accused of Protecting Gulf Cartel,2,0
ID-90,Breitbart,negative,98740000,Mexican Cartels Fight for Control of Border State Prison,3,-1
ID-210,Breitbart,neutral,98740000,900 Migrants Apprehended in 2 Days After Crossing Remote AZ Border Area,2,0
ID-224,Breitbart,neutral,98740000,Matt Gaetz: 'America First' Means Protecting U.S. Border Before Avenging Japanese Vessels,2,0
ID-240,Breitbart,neutral,98740000,3500 Migrants Apprehended over 3 Days in One Texas Border Sector,2,0
ID-315,Breitbart,negative,98740000,Nolte: Massive Viewership Collapse Drops CNN Prime Time to 15th Place,3,-1
ID-356,Breitbart,neutral,98740000,Waters: The Public Will 'Push on' Congress to Impeach Trump and 'We're Going to Have to Do It',2,0
ID-472,Breitbart,negative,98740000,Mario Lopez Attacked for Saying Parents Shouldn't Let Their Children Choose Genders,3,-1
ID-636,Breitbart,negative,98740000,Dayton Mayor Mocks Trump: 'He Might Be Going to Toledo',3,-1
ID-647,Breitbart,negative,98740000,'Act Cautiously': China Warns U.S. Against Push to Label Pakistan-Based Jihadi a ‘Global Terrorist',3,-1
ID-648,Breitbart,negative,98740000,"""16 U.S. Marines Arrested on Human Smuggling",3,-1
ID-665,Breitbart,neutral,98740000,Andrew Gillum Reiterates Call for Impeachment After Mueller Report,2,0
