ID	Gold	Pred	Text
ID-73	positive	negative	Delingpole: 'Stupid Guy' Ambassador Resigns. Great News for Trump Boris Britain and Brexit
ID-74	negative	negative	Delta pilot arrests passenger plane returns to Puerto Rico
ID-75	negative	neutral	Dem Rep. Sherman: Impeachment 'the Only Thing I Can Get on TV to Talk About'
ID-76	negative	negative	Democrat accidentally admits why they're really seeking to impeach President Trump — and it’s on
ID-77	negative	positive	Democrat Super PAC Targets Lindsey Graham in Troll Campaign
ID-78	negative	positive	Democratic congressman believes 'the greatest threat to the Second Amendment is to do nothing’
ID-79	neutral	neutral	Democratic voters unfazed by 'inappropriate touching' claims against Joe Biden polls show
ID-80	negative	negative	Democrats Freak Out Over AG Barr’s Obama ‘Spying’ Comments
ID-81	negative	negative	Detention centres 'will shock the conscience of this country'
ID-82	positive	positive	DGAP-Adhoc: Allgeier successfully completes capital increase
ID-83	negative	negative	DHS to Release 1.8K Border Crossers Illegal Aliens into U.S. over Weekend
ID-84	neutral	negative	Dianne Feinstein Uses 20th Anniversary of Columbine to Push Gun Control
ID-85	neutral	negative	Dick’s CEO a Member of Michael Bloomberg’s Gun Control Group
ID-86	negative	negative	Distracted teen driver who killed cop wife gets 60 days in jail
ID-87	negative	negative	Disturbing report reveals Trump is allowing U.S. bomb parts to be built in Saudi Arabia ‚Äî despite objections from Congress
ID-88	neutral	neutral	Doctor Fined $100000 for ‘Anti-Vax’ Social Media Posts
ID-89	negative	negative	Don Lemon Admits AOC Faked Black Accent
ID-90	positive	neutral	Donald Trump Delivers Tribute to the American Farmer
ID-91	negative	negative	Driver allegedly high on erotic ‘whippets’ when he killed lawyer
ID-92	negative	negative	Duterte threatens 'suicide mission' if Beijing oversteps in South China Sea
ID-93	negative	neutral	Elton John Blasts Brexit: 'I Am a European ‚Äì Not a Stupid Imperialist English Idiot'
ID-94	negative	positive	Equifax Victims Won’t See Much of $700M Award
ID-95	negative	negative	Europe is losing patience with China. Here's why
ID-96	negative	neutral	Eurovision faces backlash as musical kitschfest hits Israel
ID-97	positive	neutral	Ex-North Korea envoy says Trump approved signing of Warmbier pledge
ID-98	neutral	neutral	Experts: Iran Air Defense Missiles Must Be Taken Seriously
ID-99	neutral	negative	Far-right supporter confesses to killing politician
ID-100	negative	positive	Farage's Brexit Party Smashes 100000 Registered Supporters Target Aims to Pass Tory Party
ID-101	positive	positive	Federer makes winning French Open return after 4-year absence
ID-102	neutral	neutral	Feds probe MTA overtime king Thomas Caputo and other LIRR workers
ID-103	negative	negative	Female Reporter Assaulted By ANTIFA Exposes Charlottesville
ID-104	negative	positive	Feminist comedian Samantha Bee calls pro-life 'Unplanned' movie 'made up' propaganda edits trailer for her narrative on Planned Parenthood
ID-105	neutral	neutral	Fifteen-year-old Nigerian builds small scale construction machines
ID-106	neutral	negative	Firefighter ran 18 miles on broken foot in London Marathon
ID-107	negative	negative	Firm fined $3.3M for worst California oil spill in 25 years
ID-108	neutral	negative	Flashback: Ilhan Omar Begs Judge To Show Mercy To ISIS Terrorists
ID-109	negative	negative	Florida man donned werewolf mask to burn shoot torture baby girl in bassinet
ID-110	neutral	neutral	Florida’s Crackdown on Sanctuary Cities Begins
ID-111	neutral	negative	Fmr. Notre Dame Chief Architect: Ancient Oak Doesn’t Burn Like That
ID-112	negative	neutral	FNC's Wallace: Trump Is Calling People of Color 'Vermin' -- 'It Sounds Subhuman'
ID-113	negative	negative	Food stolen from thousands of hungry people
ID-114	negative	negative	Former Chinese Interpol chief 'admits his crimes' of accepting $2m bribes
ID-115	negative	positive	Former Head Of Security Of Festival Where Mass Shooting Happened Speaks Out
ID-116	negative	negative	Former US attorney Preet Bharara slams Rudy Giuliani for downplaying impact of campaign taking info from Russia
ID-117	negative	negative	French probes ultra-right plot to attack religious venue
ID-118	negative	negative	French trial accusing Orange of moral harassment wraps
ID-119	neutral	neutral	French tycoons show competitive streak over Notre Dame aid
ID-120	negative	neutral	Full-Term Abortion Clinic Injures Woman During Botched Abortion – Report
ID-121	negative	neutral	Gabbard on Dem Debate: Lack of Minutes Treatment by MSNBC Moderators 'Shows a Clear Bias in Place'
ID-122	negative	positive	Garlic Festival Gunman Entered Through Fence to Avoid Security Check
ID-123	neutral	neutral	Gavin Newsom Opens $50 million Donor Network to Kamala Harris
ID-124	neutral	neutral	George Will: Trump Has as Much to Do with Conservatism as Doris Day
ID-125	positive	negative	Georgia governor dismisses Hollywood threats on eve of pro-life 'heartbeat' bill signing
ID-126	neutral	neutral	German families plead for return of stranded ISIS children
ID-127	negative	neutral	German Minister Wants To Fine Anti-Vax Parents Up To $2800 Mandate Compulsory Shots
ID-128	neutral	negative	Germany: 26yo Eritrean Migrant Repays Family Who Took Him In By Stabbing Their 11yo Child While Shouting ‘Die Die Die!’
ID-129	positive	positive	Glastonbury: Thank you for going plastic-free says Attenborough
ID-130	neutral	neutral	Global $397.2 Bn Facade Systems (Residential and Non-residential) Market 2018-2019 & Forecasts to 2023
ID-131	positive	positive	Happy Easter from TheBlaze: The true meaning of Easter Sunday
ID-132	neutral	positive	Happy Khaniversary! Significant Rise in Crime in 3 Years Under London Mayor: Report
ID-133	negative	negative	He was wrongfully jailed for more than a decade. Years later he died in a hit-and-run
ID-134	neutral	negative	Heartbreak anew after 2 Parkland teens Sandy Hook father dead from apparent suicides
ID-135	negative	neutral	Heavy rains in Japan cause deadly landslides and floods
ID-136	neutral	neutral	Here Äôs what Mayor Pete gets right on foreign policy
ID-137	negative	neutral	Here are 7 of the wildest moments and lies from Trump‚Äôs profane and uninhibited campaign rally
ID-138	neutral	neutral	Here's how many Americans want Democrats to impeach President Trump — it's not that many
ID-139	negative	negative	Here's one reason why Apple and Google could get hurt most by renewed antitrust pressure on big tech (AAPL GOOG)
ID-140	neutral	positive	Here's what happened to President Trump's approval rating after the Mueller report
ID-141	negative	neutral	Heres how economists are blocking progress on climate change
ID-142	negative	negative	Herman Cain Blackmailed With Political Revenge Porn By Gloria Allred Client
ID-143	negative	neutral	House Democrat admits 'sole focus' is unseating President Trump not legislative accomplishments
ID-144	neutral	neutral	House Dems Get Dark Money Group After Introducing Bill Against Dark Money
ID-145	negative	negative	House Passes Mass Amnesty Bill Which Would Give Millions Of Illegal Immigrants A Path To Citizenship
ID-146	negative	negative	Houston ‘Drag Queen Storytime’ Shuts Down After Participant Outed As Child Sex Offender
ID-147	negative	positive	Howard Stern turns on ‘The View’ co-host Joy Behar over disrespectful treatment of conservative Meghan McCain
ID-148	negative	negative	HUD proposes ending assistance to illegal immigrants. Critics worry thousands of legal immigrant children could be displaced
ID-149	negative	neutral	Human Smugglers Throw Two Disabled Migrants into Border River Say Feds
ID-150	negative	negative	Hundreds evacuated after WWII-era bomb found in Germany
ID-151	negative	neutral	Idiot busted posing as officer after pulling over undercover cop
ID-152	neutral	neutral	Illinois House Passes Bill Requiring Women African-Americans on Corporate Boards
ID-153	neutral	negative	Immigrant soldiers are now being denied US citizenship at a higher rate than civilians
ID-154	neutral	negative	In Case You Missed It: Bubbles babies and celebrity horses
ID-155	positive	positive	India floods: Hundreds of passengers rescued from train
ID-156	negative	negative	Insane video shows Viking Sky cruise ship thrown into chaos at sea
ID-157	negative	negative	Investments Limited Bullish on South Florida Real Estate
ID-158	negative	negative	Iran Says US Cyber Attacks Failed Hints at Possible Talks
ID-159	negative	negative	Iranian man given death penalty for 2012 murder of American woman
ID-160	neutral	neutral	It may take 2 more years to end Congo Ebola outbreak
ID-161	negative	positive	Jake Tapper laughs in Pence face: We dont have the cleanest air and water in the world
ID-162	negative	negative	Jamal Khashoggi’s kin deny getting ‘blood money’ payout from Saudi Arabia
ID-163	negative	negative	Jealous Massachusetts teen found guilty of killing beheading classmate
ID-164	negative	neutral	John McCain Aide Tried to Keep Paper from Naming Christopher Steele as Dossier Author
ID-165	negative	negative	Jon Miller: Mueller findings derail 2020 Democrats' campaign schemes
ID-166	negative	negative	Joy Behar blames President Trump for deadly synagogue attack: 'You are the culprit’
ID-167	negative	negative	Joy turns to fear in Sudan as army takes control after ousting President
ID-168	negative	negative	Judge dies after having heart attack in court
ID-169	negative	negative	Judge Napolitano says Americans should be troubled by 'amoral deceptive' Trump exposed in Mueller report
ID-170	positive	positive	Jussie Smollett could win an NAACP award—and host Anthony Anderson hopes he does: 'the system worked for him’
ID-171	negative	neutral	Justin Amash faces intense blowback after Trump impeachment claims — then Trump hits back
ID-172	negative	neutral	Key swing district voters want candidates willing to take on Big Pharma: Americans are Äòtired of getting ripped off Äô
ID-173	negative	negative	Khan's London: Bus Driver Crashes Into Depot After Smoking Crack
ID-174	negative	negative	Kindergarten teacher detained after allegedly poisoning 23 children
ID-175	positive	neutral	Laura Yeager to make history as first woman to command Army infantry division
ID-176	negative	neutral	Legal experts ‚Äòflabbergasted‚Äô by AG Barr‚Äôs ‚Äòdeliberate political performance‚Äô: He‚Äôs ‚Äòtoo far into the tank for‚Äô Trump
ID-177	neutral	negative	Leon Redbone a mysterious musician who evoked a bygone era has died
ID-178	negative	negative	Leopard kills 2-year-old boy in Kruger National Park
ID-179	negative	negative	Liberal Chelsea Handler admits Trump's election sent her into 'mid-life identity crisis' forced her to see shrink
ID-180	negative	negative	London bus attack victim urges fight against all LGBT hate crimes
ID-181	neutral	neutral	Lord mayor opens Joe Lycett's new kitchen extension
ID-182	neutral	neutral	Loteria: A centuries-old game remade for millennials
ID-183	negative	negative	MAGA-hat stealing protester told campus police she felt unsafe but the cops weren't having it
ID-184	negative	negative	Man accused of marrying 4 women pleads guilty
ID-185	negative	negative	Man had ‘father-son’ chat with dying son before fatal stabbing prosecutors say
ID-186	negative	negative	Man jailed for beating wife claims he was victim of anti-Semitic harassment
ID-187	negative	negative	Man killed by masked gunman who used anti-gay slur: cops
ID-188	negative	negative	Marine shot killed while on guard duty at California base
ID-189	negative	neutral	Mars: Curiosity Detects Unusually High Methane Levels
ID-190	negative	negative	Maternal Obesity Linked to Childhood Cancer
ID-191	neutral	neutral	Matt Gaetz: 'America First' Means Protecting U.S. Border Before Avenging Japanese Vessels
ID-192	negative	negative	Maxine Waters accuses Trump admin of neglecting threats says Democrats must protect themselves instead
ID-193	neutral	neutral	Measles cases at second-highest level in US in 25 years
ID-194	neutral	neutral	Media attorney CHARLES HARDER named to Variety's 2019 Legal Impact Report
ID-195	negative	neutral	Media Threatens to Dox Microsoft Employee Who Said Execs Are ‘Awarded’ For Discriminating Against White & Asian Men
ID-196	neutral	neutral	Meet the 'warts and all' wedding photographer
ID-197	neutral	neutral	Meet the trainer to royals rulers and billionaires
ID-198	negative	negative	Meghan McCain rips co-host for spreading Julian Assange ‘propaganda’ on ‘The View’: ‘I hope he rots in hell!’
ID-199	neutral	neutral	Melbourne will be first city outside US to get Uber's flying taxis
ID-200	positive	negative	Middle school volleyball players help stop woman’s suicide: ‘Your life is worth it’
ID-201	negative	negative	Migrant woman killed in fall from train in Mexico
ID-202	negative	positive	Ministry Of Truth: EU Takes A Bashing Over Orwellian 1984 Tweet
ID-203	neutral	neutral	More Joe Biden Stories Are Coming Out: “Anybody Who’s Ever Been Around Joe Biden Has Been Touched By Him – Literally”
ID-204	negative	negative	More than 100 Indian children die from brain disease in 3 weeks
ID-205	positive	neutral	Motel 6 settles lawsuit by agreeing to pay $12 million for cooperating with ICE in Washington state
ID-206	negative	negative	MSNBC producers contradict Rachel Maddow's Mueller report conspiracy theory as she's saying it
ID-207	positive	negative	Much of Notre Dame Cathedral's structure and artifacts miraculously survive the destructive fire
ID-208	neutral	negative	Mueller found no Trump collusion with Russia not enough evidence for obstruction: Barr
ID-209	negative	neutral	Multiple people shot at Virginia Memorial Day weekend party
ID-210	negative	negative	NBA coach Walton accused of sexual assault
ID-211	neutral	positive	Neutron Stars Merge Form An Extremely Powerful Magnetic Field
ID-212	negative	negative	New polling of 2020 Democrats head-to-head with Trump in a key swing state reveals his electoral weakness
ID-213	negative	neutral	New study claims white people's diets disproportionally contribute to climate change
ID-214	negative	negative	No US president has intervened as unapologetically in recent years in British affairs as Trump
ID-215	negative	negative	Nolte: Media Fabricate 'Racist Outrage' Hoax About Disney's 'Little Mermaid' Casting
ID-216	negative	negative	Nolte: New York Times Wants Ban on 'Sexist' Air Conditioning
ID-217	negative	neutral	North Korean official calls John Bolton ‚dim-sighted’
ID-218	negative	negative	Now Hillary Clinton’s loss is being blamed on Jon Stewart
ID-219	negative	negative	NPR Admits Illegal Immigrants Are Spreading Disease
ID-220	positive	neutral	O’Rourke: Our Immigration System Can Handle More Migrants
ID-221	neutral	neutral	Ocasio-Cortez defends Omar over 9/11 comments rips Post cover
ID-222	negative	negative	Ocasio-Cortez peddles extreme fear over climate change despite facts from scientists
ID-223	negative	negative	Officials: BA suspending flights from London for 2 days
ID-224	negative	negative	Ohio man raped now-pregnant 11-year-old girl: authorities
ID-225	neutral	negative	One restaurant's simple approach to fighting food waste
ID-226	neutral	positive	Openly gay Democratic presidential candidate wants to 'broker that peace deal' with Chick-fil-A
ID-227	neutral	neutral	Operation Pennsylvania: Why the Keystone State will be make or break Trump‚Äôs reelection campaign
ID-228	negative	negative	Overworking kills more than 300 poll staff
ID-229	negative	neutral	Pastor Jailed by Turkey Can’t Believe LGBT Persecution of Christians in USA
ID-230	neutral	neutral	Pat Gray: We are one step closer to ‚1984’
ID-231	negative	neutral	Peaceful Conservative Attacked By Leftist Liberal For Asking A Question
ID-232	neutral	neutral	Pence: US astronauts will walk on the moon ‘by any means necessary’
ID-233	positive	negative	Pentagon takes action after two US soldiers detained disarmed by Mexican soldiers in US territory
ID-234	negative	negative	Philadelphia Archbishop: ‚ÄòPredatory Homosexuality‚Äô Cause of Abuse Crisis
ID-235	negative	neutral	Planned Parenthood Takes Donations Specifically To Abort Black Babies
ID-236	negative	negative	Planned Parenthood: Democrat Rogers‚Äô Abortion Comments 'Reprehensible' but Distract from Abortion Ban
ID-237	neutral	positive	President Trump scraps latest sanctions against North Korea because he 'likes' Kim Jong Un
ID-238	neutral	neutral	Proof: YouTube Corrects Alex Jones Results After Infowars Calls Out Gamed Algorithm
ID-239	negative	neutral	Prosecutors: Islamist Planned to Run Over Pedestrians with U-Haul in National Harbor Maryland
ID-240	negative	negative	Racist texts from border agent accused of hitting migrant with truck revealed
ID-241	positive	positive	Real Madrid is 'most valuable club in Europe' according to report
ID-242	positive	neutral	Red Cross to begin aid to Venezuela by mid-April
ID-243	negative	negative	"""Rep. Bradley Byrne Condemns """"Horrific"""" Abortion Comments from Alabama Democrat"""
ID-244	positive	positive	Restaurant stocks have caught up with soaring S&P 500 gains in the last year. These 10 companies have surged and led the industry
ID-245	negative	negative	Rhetoric From “The Squad” Promotes Left Wing Terror
ID-246	positive	positive	Robert Francis 'Beto' O‚ÄôRourke: El Paso Safe Because of Immigrants Asylum Seekers
ID-247	negative	negative	Rod Rosenstein reveals damaging info about Obama admin's handling of Russia probe — then targets media Comey
ID-248	neutral	negative	Ross Perot donated to Trump’s re-election campaign before death: report
ID-249	neutral	neutral	Russia Sends China Replacements for S-400 Missiles – Reports
ID-250	negative	negative	RussiaGate: Rudy Giuliani Predicts 'Criminal' Evidence Against FBI DOJ Officials 'In Six Months'
ID-251	neutral	neutral	S. Korea proposes UN probe over Japanese sanctions claims
ID-252	negative	negative	San Diego synagogue shooting was almost much worse rabbi says
ID-253	negative	neutral	Sanders: Biden 'Owes the Country an Apology' on 'Civility' Remarks
ID-254	negative	neutral	Satire: Governor Northam Hacks Infowars’ Broadcast
ID-255	neutral	neutral	Scientists detect the earliest Big Bang molecule in space
ID-256	negative	neutral	Searchers find body of police chief knocked overboard from fishing boat
ID-257	negative	neutral	Secret Service Take Chicago Restaurant Employee into Custody After She Spits on Eric Trump
ID-258	neutral	neutral	Shinano Kenshi Introduces New Corporate Brand
ID-259	negative	negative	Silver King dies during London wrestling fight
ID-260	negative	negative	Six dead 200 injured in protests over Indonesia's election result
ID-261	neutral	neutral	Slack is ruining my life and I love it
ID-262	negative	neutral	Space telescope snaps a celestial family
ID-263	negative	positive	Sri Lanka shakes up top security posts after deadly bombings
ID-264	neutral	negative	Sri Lanka updates: President Trump pledges US support death toll rises
ID-265	positive	neutral	Student reunited with mother after 12 years
ID-266	negative	negative	Suspect reportedly steals man’s vehicle with man’s child inside. Suspect finds out hard way that he picked the wrong car to jack
ID-267	neutral	negative	Syria rejects Arab summit statement on Iran intervention
ID-268	neutral	neutral	Syrian troops take village in last rebel stronghold
ID-269	neutral	negative	Taiwan's president reaffirms anti-nuclear stance at march
ID-270	negative	negative	Terrified city workers in Virginia Beach shooting: All you could hear was gunshots
ID-271	neutral	neutral	Texas church targeted in mass shooting opens new sanctuary
ID-272	positive	neutral	Thailand crowns new King in $31M celebration
ID-273	negative	negative	The amount of plastic in the ocean is a lot worse than we thought
ID-274	negative	negative	The disturbing reason Republicans deny science and embrace measles epidemic
ID-275	negative	negative	The GOP‚Äôs anti-choice zealots are threatening to lurch America into a cold civil war
ID-276	neutral	neutral	The Latest: Muslim students talk to pope about tolerance
ID-277	negative	negative	The refugee families caught up in a war zone in Libya
ID-278	neutral	neutral	They wanted a son so much they made their daughter live as a boy
ID-279	neutral	neutral	To 'slay' communication with his students a high school teacher made a Gen Z dictionary
ID-280	neutral	neutral	To Spike Or Not To Spike That Is The Question! New Refreshers And Dim Sum Arrive At P.F. Chang's April 11th
ID-281	negative	negative	Tories Threaten to Defect to Farage's Party if Johnson Fails to Deliver Brexit
ID-282	neutral	negative	Transgender activist indicted on charges of theft — from anti-Trump 'Women's March’
ID-283	negative	neutral	Truck explodes at Burger King drive-thru in Arkansas
ID-284	negative	negative	Trump brands London mayor a ‘disaster’
ID-285	negative	neutral	Trump calls Robert Mueller’s probe an ‘attempted coup’
ID-286	negative	negative	Trump calls Smollett case ‘embarrassment to our country’ at raucous rally
ID-287	positive	neutral	Trump lauds military at Independence Day celebrations
ID-288	negative	negative	Trump slams Mexico Democrats over spike in asylum seekers at border
ID-289	negative	negative	Trump Suggests John Kerry's Meetings with Iran 'Big Violation of Logan Act'
ID-290	negative	negative	Trump warns China about harsher trade deal if reelected
ID-291	neutral	neutral	Trump: Illegal immigrants in sanctuary cities would make ‘Radical Left’ happy
ID-292	neutral	negative	Trump's post-Mueller victory lap clouded by chaos
ID-293	negative	negative	TV networks are refusing to sell ads for anti-abortion movie ‚Unplanned’
ID-294	neutral	negative	Twice failed presidential candidate Hillary Clinton tells Dems how they should campaign to beat Trump
ID-295	negative	negative	U.S. and Japan Battle China for Influence in Zimbabwe
ID-296	negative	negative	UK police investigate 'dangerous and disturbing' Salah chants
ID-297	neutral	neutral	Ukraine's presidential candidates take drug tests
ID-298	negative	neutral	UN rights chief 'appalled' by conditions in US for migrants
ID-299	positive	neutral	Uncle Sam offering $1K to people who adopt untrained wild horse or burro
ID-300	negative	positive	United Airlines employee allegedly called actress a ‘shining monkey’
ID-301	positive	positive	US intel: Saudi's missile program got help from China
ID-302	neutral	neutral	US-Mexico border apprehensions soared to over 144K in May
ID-303	negative	negative	Venezuela crisis is forcing people to destroy national park just to bathe
ID-304	neutral	neutral	Venezuela's top court targets opposition lawmakers
ID-305	negative	negative	Veteran journalist writes horrifying account of Donald Trump raping her 23 years ago
ID-306	negative	negative	Video Shows Migrants Abusing Children at Arizona Border Fence
ID-307	negative	negative	Vietnamese woman accused in Kim Jong Nam's killing released
ID-308	neutral	neutral	Virginia Beach gunman DeWayne Craddock quit job hours before massacre
ID-309	neutral	negative	Virginia Beach mourns victims of gun rampage
ID-310	neutral	neutral	WATCH - Bernie Sanders Would Move U.S. Embassy Out of Jerusalem
ID-311	negative	neutral	Watch--Trump: Democrat Agenda of Open Borders Is 'Greatest Betrayal of American Middle Class'
ID-312	negative	negative	Widow questions husband’s death in Dominican Republic after tourists die
ID-313	neutral	negative	Wife-killer who stopped at Applebee’s in bid to cover his tracks gets 15 years in plea deal
ID-314	negative	negative	William Barr doubles down on campaign spying claims slams Democrats
ID-315	neutral	neutral	Wirecard spikes on report SoftBank is considering an investment
ID-316	negative	negative	Woman charged with conspiring to gang-rape kidnapped woman
ID-317	negative	negative	Young Texas brothers killed in violent storms identified
ID-318	negative	neutral	Sudan tensions escalate after talks with military break down
